session,timing_from_mhapral,timing_from_ambet
Morning,6:00 AM,6:15 AM
Morning,7:00 AM,7:15 AM
Morning,8:00 AM,8:15 AM
Morning,9:00 AM,9:15 AM
Morning,10:00 AM,10:15 AM
Morning,11:00 AM,11:15 AM
Afternoon,12:00 PM,12:15 PM
Afternoon,1:00 PM,1:15 PM
Afternoon,2:00 PM,2:15 PM
Afternoon,3:00 PM,3:15 PM
Afternoon,4:00 PM,4:15 PM
Evening,5:00 PM,5:15 PM
Evening,6:00 PM,6:15 PM
Evening,7:00 PM,7:15 PM
Evening,8:00 PM,8:15 PM
Night,9:00 PM,9:15 PM
Night,10:00 PM,10:15 PM
Night,11:00 PM,11:15 PM
Night,12:00 AM,12:15 AM
